Hanja,Pronunciation,Definition,Alternate Pronunciation,Examples,Radicals,Reading Level,Writing Level
順,순,순할,,"順位 - 순위 (order, ranking)
順序 - 순서 (sequence)
順- - 순하다 (be gentle, meek, docile)
順列 - 순열 (permutation)
語順 - 어순 (word order)
","川, 貝, 頁",5II,4II
純,순,순수할,,"單純 - 단순 (simplicity)
純粹 - 순수 (purity,genuineness)
純粹- - 순수하다 (to be pure)
純眞- - 순진하다 (to be naive, pure)
純潔 - 순결 (chastity)
不純 - 불순 (impurity)
","屯, 糸",4II,3II
旬,순,열흘,,"中旬 - 중순 (the second 10 days in a month)
下旬 - 하순 (the final third of the month)
初旬 - 초순 (the first third of a month)
","勹, 日",3II,2
殉,순,"따라, 죽을",,,"勹, 日, 歹",3,2
循,순,돌,,"循環 - 순환 (circulation)
循環 - 순환하다 (cycle)
惡循環 - 악순환 (vicious circle)
","十, 厂, 彳, 斤, 目",3,2
脣,순,입술,,"陰脣 - 음순 (labium)
","月, 辰","Reading error 脣, 897","Writing error 脣, 897"
瞬,순,깜짝일,,"瞬間 - 순간 (moment)
瞬間的 - 순간적 (momentary, in a flash, for an instant)
瞬息間 - 순식간 (a brief instant, a moment)
","冖, 夕, 爪, 牛, 目, 舛",3II,2
巡,순,돌아다닐,,"巡禮 - 순례하다 (pilgrimage)
巡航 - 순항 (cruise)
巡航 - 순항하다 (cruise)
巡禮者 - 순례자 (pilgrim)
巡洋艦 - 순양함 (cruiser)
","込, 川",3II,2
戌,술,개,,,"ノ, 戈",3,2
述,술,펼,,"記述- - 기술하다 (description, depiction)
陳述 - 진술 (statement)
敍述 - 서술 (description)
著述 - 저술 (writing)
述語 - 술어 (predicate)
","丶, 十, 込, 木",3II,2
術,술,재주,,"技術 - 기술 (art or  technique or  ability)
藝術 - 예술 (art)
藝術的 - 예술적인 (artistic)
手術 - 수술 (surgery)
美術 - 미술 (fine art)
美術的 - 미술적인 (artistic)
","丶, 十, 彳, 木, 行",6II,5II
崇,숭,높을,,"崇拜 - 숭배 (worship)
動物崇拜 - 동물숭배 (zoolatry)
崇高 - 숭고하다 (noble, (literary) lofty)
崇拜者 - 숭배자 (adorer)
","宀, 山, 示",4,3
習,습,익힐,,"練習 - 연습 (practice, exercise)
練習- - 연습하다 ( to practice, exercise)
學習 - 학습 (study, learning)
習慣 - 습관 (habit)
實習 - 실습 (actual training, practice)
慣習 - 관습 (custom, convention)
","冫, 白, 羽",6,5
拾,습,주울,,,"个, 口, 扎",3II,2
濕,습,젖을/축축할,,"濕氣 - 습기 (moisture)
濕疹 - 습진 (eczema)
","幺, 汁, 日, 杰",3II,2
襲,습,엄습할,,"奇襲 - 기습 (surprise attack)
空襲 - 공습 (air raid)
世襲 - 세습 (heritage)
逆襲 - 역습 (counterattack)
急襲 - 급습 (raid)
","月, 立, 衣",3II,2
乘,승,탈,,"乘客 - 승객 (passenger)
階乘 - 계승 (factorial)
乘用車 - 승용차 (a passenger car)
換乘 - 환승 (interchange (from one form of transport to another or between lines))
乘數 - 승수 (multiplier)
","ノ, 八, 匕, 十, 爿",3II,2
承,승,이을/받들,,"承認 - 승인 (recognition)
繼承 - 계승 (succession)
承諾 - 승낙 (consent)
承諾 - 승낙하다 (consent)
傳承 - 전승 (tradition)
","ノ, 亅, 二, マ, 手",4II,3II
勝,승,이길/뛰어날,,"勝利 - 승리 (win)
優勝 - 우승 (first place)
優勝- - 우승하다 (to take first place)
勝負 - 승부 (a contest, match)
決勝 - 결승 (finals (in a tournament))
勝利者 - 승리자 (winner)
","二, 人, 八, 力, 大, 月","Reading error 勝, 910","Writing error 勝, 910"
昇,승,오를,,"上昇 - 상승 (rising)
上昇 - 상승하는 (climbing)
上昇 - 상승하다 (climb)
上昇 - 상승적인 (ascending)
昇進 - 승진 (promotion)
昇降機 - 승강기 (elevator)
","ノ, 十, 廾, 日",3II,2
僧,승,중,,"高僧 - 고승 (high priest)
","化, 八, 日, 田",3II,2
市,시,저자,,"市 - 시 (city)
都市 - 도시 (city)
大都市 - 대도시 (large city)
市長 - 시장 (mayor)
魚市場 - 어시장 (fish market)
市民 - 시민 (citizen)
","亠, 巾","Reading error 市, 913","Writing error 市, 913"
示,시,보일,,"展示場 - 전시장 (an exhibition hall)
啓示 - 계시 (revelation)
表示 - 표시 (display)
標示- - 표시하다 (sign, mark, indicate)
提示 - 제시 (presentation)
指示 - 지시 (instruction)
",示,5,4
是,시,옳을,,"亦是 - 역시 (as expected, likewise)
或是 - 혹시 (sometimes)
是認 - 시인 (approval)
是認 - 시인하는 (approving)
","日, 疋",4II,3II
時,시,때,,"時 - 시 (time)
時間 - 시간 (time)
時代 - 시대 (age, era, period)
時代的 - 시대적 (of the times)
當時 - 당시 (at that time)
同時 - 동시 (at the same time; simultaneously)
","土, 寸, 日",7II,6
詩,시,시,,"詩 - 시 (poetry, lines of verse)
詩人 - 시인 (poet)
詩集 - 시집 (a collection of poems)
詩形 - 시형 (versification)
","土, 寸, 言",4II,3II
視,시,볼,,"重要視- - 중요시하다 (emphasize, regard sth as important, to be crucial)
無視 - 무시 (disregard)
無視 - 무시하다 (neglect)
視角 - 시각 (angle/point of view)
視聽率 - 시청률 (ratings)
視線 - 시선 (one's line of vision)
","礼, 見",4II,3II
施,시,베풀,,"施設 - 시설 (facility)
實施 - 실시 (execution, enforcement)
實施- - 실시하다 (to enforce,put into effect)
實施- - 실시되다 (to be enforced)
施行 - 시행 (enforcement, implementation)
福祉施設 - 복지시설 (welfare facilities)
","一, ノ, 也, 方",4II,3II
試,시,시험,,"試驗 - 시험 (examination)
試驗 - 시험하다 (prove)
試圖 - 시도 (make an attempt, give sth a try)
試圖- - 시도하다 (to try, attempt)
入試 - 입시 (an entrance examination)
試合 - 시합 (match)
","工, 弋, 言",4II,3II
始,시,비로소,,"始作 - 시작 (the beginning)
始作- - 시작하다 (to start, begin)
始作- - 시작되다 (to begin, to start)
開始 - 개시 (commencement)
開始 - 개시하다 (commence)
始祖 - 시조 (originator)
","厶, 口, 女",6II,5II
矢,시,화살,,,"一, ノ, 大",3,2
侍,시,모실,,"侍從 - 시종 (chamberlain)
","化, 土, 寸",3II,2
氏,씨,성씨,,"氏 - 씨 (Mister)
攝氏 - 섭씨 (Celsius)
",氏,4,3
食,식,먹을,,"飮食 - 음식 (food)
食事 - 식사 (a meal)
食事- - 식사하다 (to eat a meal)
食品 - 식품 (groceries)
洋食 - 양식 (raising, farming, culture)
食堂 - 식당 (restaurant)
",食,7II,6
式,식,법,,"式 - 식 (form, style)
方式 - 방식 (system)
公式 - 공식 (formula)
公式的 - 공식적 (official, formal; formula (mathematics))
儀式 - 의식 (ceremony)
儀式 - 의식적인 (ceremonial)
","工, 弋",6,5
植,식,심을,,"植物 - 식물 (plant)
植民地 - 식민지 (colony)
植物學 - 식물학 (botany)
腐植土 - 부식토 (humus)
誤植 - 오식 (misprint)
被子植物 - 피자식물 (angiosperm)
","十, 木, 目",7,6
識,식,알,,"意識 - 의식 (sense)
認識 - 인식 (recognition)
知識 - 지식 (knowledge)
知識人 - 지식인 (an intellectual)
常識 - 상식 (common sense)
識別 - 식별 (discrimination)
","戈, 日, 立, 言, 音",5II,4II
息,식,숨쉴,,"消息 - 소식 (news)
子息 - 자식 (one's children)
休息 - 휴식 (rest)
休息 - 휴식하다 (rest)
瞬息間 - 순식간 (a brief instant, a moment)
喘息 - 천식 (asthma)
","心, 自",4II,3II
飾,식,꾸밀,,"裝飾 - 장식 (ornament)
裝飾 - 장식하다 (embellish)
裝飾的 - 장식적인 (decorative)
假飾的 - 가식적이다 (to be pretentious)
修飾語 - 수식어 (modifier (in language))
","ノ, 巾, 食",3II,2
身,신,몸,,"自身 - 자신 (one's own self, one's own body)
當身 - 당신 (you (formal))
代身 - 대신 (instead of)
代身- - 대신하다 (relieve, replace another)
出身 - 출신 (a native, place one is from)
身體 - 신체 (the body)
",身,6II,5II
申,신,거듭,,"申請 - 신청 (application)
申請 - 신청하다 (request)
申告 - 신고 (a statement, declaration)
申告- - 신고하다 (to state, declare)
申請書 - 신청서 (application, application form)
","｜, 日, 田",4II,3II
神,신,귀신,,"神 - 신 (a god)
精神 - 정신 (spirit)
精神的 - 정신적 (mental)
神經 - 신경 (nerve)
神話 - 신화 (myth)
神父 - 신부 (abbe)
","｜, 日, 礼, 田",6II,5II
臣,신,신하,,"家臣 - 가신 (retainer)
臣下 - 신하 (retainer)
","匚, 臣",5II,4II
信,신,믿을,,"自信 - 자신 (self-confidence)
通信 - 통신 (correspondence)
信號 - 신호 (signal)
信號 - 신호하다 (signalize)
信賴 - 신뢰 (trust (in), faith (in))
信用 - 신용 (reliance)
","化, 言",6II,5II
辛,신,매울/괴로울,,"艱辛- - 간신히 (narrowly, barely)
","十, 立, 辛",3,2
新,신,새,,"新聞 - 신문 (a newspaper)
新製品 - 신제품 (new product)
新世代 - 신세대 (the new generation)
新規 - 신규 (start anew)
新婦 - 신부 (bride)
革新 - 혁신 (innovation)
","八, 十, 斤, 木, 立, 辛",6II,5II
伸,신,펴다,,"伸張 - 신장 (extension)
追伸 - 추신 (postscript)
","｜, 化, 日, 田",3,2
晨,신,새벽,,,"日, 辰",3,2
愼,신,삼갈,,"愼重 - 신중 (prudence)
","八, 匕, 忙, 目",3II,2
失,실,잃을,,"失敗 - 실패 (failure)
失手 - 실수 (a mistake)
失手- - 실수하다 (to make a mistake)
失望 - 실망 (disappointment)
喪失 - 상실 (loss)
喪失 - 상실하다 (forfeit)
","ノ, 二, 人, 大",6,5
室,실,집,,"化粧室 - 화장실 (bathroom)
室長 - 실장 (boss, president)
事務室 - 사무실 (office)
敎室 - 교실 (classroom)
室內 - 실내 (in the room)
居室 - 거실 (living room)
","厶, 土, 宀, 至",8,6II
實,실,열매,,"事實 - 사실 (truth)
事實上 - 사실상 (actually, in truth)
現實 - 현실 (reality)
現實的 - 현실적 (down to earth, realistic)
實施 - 실시 (execution, enforcement)
實施- - 실시하다 (to enforce,put into effect)
","一, 宀, 田, 貝",5II,4II
心,심,마음,,"關心 - 관심 (interest)
中心 - 중심 (heart; center, core)
心臟 - 심장 (heart)
無關心 - 무관심 (apathy, indifference)
無關心- - 무관심하다 (be indifferent to)
眞心 - 진심 (sincerely, truly)
",心,7,6
甚,심,심할,,"甚- - 심하다 (to be extreme, intense)
甚- - 심해지다 (intensify, grew worse)
","一, 儿, 甘",3II,2
深,심,깊을,,"深刻- - 심각하다 (to be serious, grave)
深刻- - 심각해지다 (to get serious)
測深 - 측심 (sounding)
","儿, 冖, 汁, 木",4II,3II
尋,심,찾을,,,"口, 寸, 工, ヨ",3,2
審,심,살필,,"審査 - 심사 (examination)
審判 - 심판하다 (referee)
審理 - 심리 (trial)
審議 - 심의 (deliberation)
審問 - 심문 (interrogation)
再審 - 재심 (review)
","宀, 田, 米, 釆",3II,2
十,십,열,,"十 - 십 (10)
二十 - 이십 (twenty)
五十 - 오십 (fifty)
四十 - 사십 (40)
九十 - 구십 (90)
三十 - 삼십 (30)
",十,8,6II
兒,아,아이,,"幼兒 - 유아 (infant)
育兒 - 육아 (nursing)
胎兒 - 태아 (embryo)
棄兒 - 기아 (foundling)
孤兒 - 고아 (orphan)
小兒科 - 소아과 (pediatrics)
","儿, 臼",5II,4II
我,아,나,,"自我 - 자아 (self)
無我地境 - 무아지경 (trance, daze)
","亅, 戈, 手",3II,2
牙,아,어금니,,"齒牙 - 치아 (tooth)
象牙 - 상아 (ivory)
",牙,3II,2
芽,아,싹,,"萌芽 - 맹아 (germination)
麥芽 - 맥아 (malt)
","艾, 牙",3II,2
雅,아,맑을/우아할,,"優雅 - 우아 (refinement)
雅量 - 아량 (tolerance)
雅號 - 아호 (nom de plume)
","牙, 隹",3II,2
亞,아,버금,,"亞麻 - 아마 (flax)
亞流 - 아류 (epigone)
亞燐酸 - 아인산 (phosphoric acid)
","一, 二",3II,2
餓,아,주릴,,"餓死 - 아사 (starvation)
","亅, 戈, 手, 食",3,2
惡,악,나쁠,"""미워할 오""로도 읽는다.","惡魔 - 악마 (fiend)
惡化 - 악화 (deterioration)
最惡 - 최악 (the worst)
嫌惡 - 혐오 (disgust)
惡黨 - 악당 (scoundrel)
憎惡 - 증오 (hatred)
","一, 二, 心",5II,4II
岳,악,"큰, 산",,,"一, 山, 斤",3,2
安,안,편안할,,"安全 - 안전 (security)
安寧 - 안녕 (hello/goodbye)
安寧- - 안녕하다 (to say hello)
未安- - 미안하다 (to be sorry)
保安 - 보안 (security)
安靜 - 안정 (rest)
","女, 宀",7II,6
案,안,책상/안건,,"案 - 안 (a plan, proposal, suggestion)
提案 - 제안 (suggestion)
案內 - 안내 (guidance)
方案 - 방안 (a plan, scheme)
考案 - 고안 (device)
考案 - 고안하다 (project)
","女, 宀, 木",5,4
顔,안,얼굴,,"顔色 - 안색 (countenance)
顔料 - 안료 (colorant)
","亠, 八, 厂, 彡, 立, 貝, 頁",3II,2
眼,안,눈,,"眼鏡 - 안경 (spectacle)
眼球 - 안구 (eyeball)
眼識 - 안식 (insight)
肉眼 - 육안 (naked eye)
老眼 - 노안 (presbyopia)
眼科 - 안과 (ophthalmology)
","目, 艮",4II,3II
岸,안,언덕,,"海岸 - 해안 (coast)
沿岸 - 연안 (coast)
海岸線 - 해안선 (coastline)
","厂, 山, 干",3II,2
雁,안,기러기,,,"化, 厂, 隹",3,2
謁,알,뵐,,,"勹, 匕, 日, 言",3,2
暗,암,어두울,,"暗號 - 암호 (password)
暗殺 - 암살 (assassination)
暗示 - 암시 (suggestion)
暗示 - 암시하다 (hint)
暗殺者 - 암살자 (assassinator)
暗礁 - 암초 (reef)
","日, 立, 音",4II,3II
巖,암,바위,,,"厂, 口, 山, 攵, 耳",3II,2
壓,압,누를,,"壓力 - 압력 (stress)
壓迫 - 압박 (pressure)
壓倒 - 압도적인 (overwhelming)
壓倒 - 압도하다 (whelm)
血壓 - 혈압 (blood pressure)
鎭壓 - 진압 (suppression)
","厂, 土, 日, 月, 犬",4II,3II
押,압,누를/억압할,,"押收 - 압수 (confiscation)
","｜, 扎, 日, 田",3,2
仰,앙,우러를,,"信仰 - 신앙 (faith)
","化, 卩",3II,2
央,앙,가운데,,"中央 - 중앙 (the middle; the heart)
中央暖房 - 중안난방 (central heating)
震央 - 진앙 (epicenter)
","一, ノ, 冖, 大",3II,2
殃,앙,재앙,,,"人, 冂, 大, 歹",3,2
愛,애,사랑,,"愛顧 - 애고 (patronage)
戀愛 - 연애 (date, have a relationship with)
愛人 - 애인 (mistress)
愛情 - 애정 (love)
愛稱 - 애칭 (pet name)
愛着 - 애착 (attachment)
","冖, 夂, 心, 爪",6,5
哀,애,슬플,,"哀歌 - 애가 (elegy)
哀悼 - 애도 (regret)
哀願 - 애원 (petition)
哀願 - 애원하다 (appeal)
喜怒哀樂 - 희로애락 (the spectrum of human emotion)
","亠, 口, 衣","Reading error 哀, 974","Writing error 哀, 974"
涯,애,물가,,,"厂, 土, 汁",3,2
厄,액,액,,,"卩, 厂",3,2
額,액,이마,,"金額 - 금액 (amount of money)
額數 - 액수 (a sum, an amount)
巨額 - 거액 (fortune, a large sum of money)
","口, 夂, 宀, 貝, 頁",4,3
也,야,어조사,,,"｜, 乙, 匕, 也",3,2
夜,야,밤,,"夜間 - 야간 (nighttime)
夜景 - 야경 (night view)
夜勤 - 야근하다 (work overtime)
白夜 - 백야 (white night)
夜想曲 - 야상곡 (nocturne)
夜會 - 야회 (evening party)
","亠, 化, 夕",6,5
野,야,들,,"內野 - 내야 (infield)
野球 - 야구 (baseball)
分野 - 분야 (field)
野球場 - 야구장 (baseball field)
視野 - 시야 (visual field)
野外 - 야외 (outdoors)
","亅, 矛, 里",6,5
耶,야,어조사,,,"邦, 耳",3,2
弱,약,약할,,"弱- - 약하다 (to be weak)
弱點 - 약점 (weakness, a weak point, a vulnerable point)
弱- - 약해지다 (to become weak, weaken)
衰弱 - 쇠약 (debility)
薄弱 - 박약 (weakness)
弱肉强食 - 약육강식 (survival of the fittest)
","冫, 弓",6II,5II
若,약,같을,,"若干 - 약간 (somewhat)
萬若 - 만약 (if)
","一, ノ, 口, 艾",3II,2
約,약,맺을,,"約 - 약 (about, approximately)
契約 - 계약 (compact)
契約 - 계약하다 (covenant)
約束 - 약속하다 (promise)
豫約 - 예약 (subscription)
制約 - 제약 (a condition, restriction)
","丶, 勹, 糸",5II,4II
藥,약,약,,"藥 - 약 (medicine)
痲藥 - 마약 (narcotics, drugs)
藥局 - 약국 (pharmacy)
藥品 - 약품 (medicine, medical supplies)
媚藥 - 미약 (aphrodisiac)
彈藥 - 탄약 (ammunition)
","幺, 艾, 木, 白",6II,5II
躍,약,뛸,,"活躍 - 활약 (activity)
跳躍 - 도약 (skip)
跳躍 - 도약하는 (jumping)
跳躍 - 도약하다 (spring)
","口, ヨ, 足, 隹",3,2
羊,양,양,,"羊 - 양 (a sheep, ram)
","八, 王, 羊",4II,3II
洋,양,"큰, 바다",,"洋食 - 양식 (raising, farming, culture)
西洋 - 서양 (west)
洋襪 - 양말 (a sock)
洋- - 양파 (an onion)
洋酒 - 양주 (foreign wine/liquors)
洋服 - 양복 (suit)
","八, 汁, 王, 羊",6,5
養,양,기를,,"養殖 - 양식 (culture)
入養 - 입양 (adoption)
敎養 - 교양 (culture, education)
營養 - 영양 (nutrition)
養育 - 양육 (upbringing, child-rearing)
培養 - 배양 (culture)
","八, 王, 羊, 食",5II,4II
揚,양,날릴,,"抑揚 - 억양 (modulation)
","一, 扎, 日, 勿",3II,2
陽,양,볕,,"太陽 - 태양 (sun)
陽性 - 양성 (positive (test result))
陽極 - 양극 (anode)
陽曆 - 양력 (the solar calendar)
陰陽 - 음양 (yin and yang)
陽電氣 - 양전기 (positive electricity)
","一, 阡, 日, 勿",6,5
讓,양,사양할,,"辭讓 - 사양하다 (to deny or give something up out of humility)
讓步 - 양보 (yield, concession, compromise)
讓步- - 양보하다 (to yield, make a concession)
謙讓 - 겸양 (modesty)
","一, ｜, 亠, 口, 衣, 言",3II,2
壤,양,흙,,"平壤 - 평양 (capital of North Korea)
土壤 - 토양 (soil)
","一, ｜, 亠, 口, 土, 衣",3II,2
樣,양,모양,,"多樣- - 다양하다 (to be various, diverse)
多樣- - 다양해지다 (diversify)
多樣性 - 다양성 (variety)
模樣 - 모양 (figure)
樣式 - 양식 (style)
樣相 - 양상 (aspect)
","丶, 八, 木, 水, 王, 羊",4,3
楊,양,버들,,,"一, 日, 木, 勿",3,2
魚,어,물고기,,"魚市場 - 어시장 (fish market)
文魚 - 문어 (octopus)
魚雷 - 어뢰 (torpedo)
魚油 - 어유 (fish oil)
魚介 - 어개 (seafood)
魚龍 - 어룡 (ichthyosaur)
","杰, 田, 魚",5,4
漁,어,"고기, 잡을",,"漁船 - 어선 (fishing boat)
漁夫 - 어부 (fisher)
漁場 - 어장 (fishing ground)
漁獲 - 어획 (fishing)
","汁, 杰, 田, 魚",5,4
於,어,어조사,,,"个, 方",3,2
語,어,말씀,,"英語 - 영어 (the English language)
單語 - 단어 (word)
言語 - 언어 (language)
韓國語 - 한국어 (Korean (language))
用語 - 용어 (term)
日本語 - 일본어 (Japanese)
","一, 口, 言",7,6
御,어,어거할,,"制御 - 제어 (control)
","ノ, 卩, 彳, 止",3II,2
億,억,억,,"億 - 억 (one hundred million)
","化, 心, 日, 立, 音",5,4
憶,억,생각할,,"記憶 - 기억 (remembrance)
追憶 - 추억 (reminiscence)
","忙, 心, 日, 立, 音",3II,2
抑,억,누를/억압할,,"抑制 - 억제 (suppression)
抑鬱- - 억울하다 (to be victimized, treated unfairly)
抑揚 - 억양 (modulation)
抑留 - 억류 (internment)
抑留者 - 억류자 (detainee)
","卩, 扎",3II,2
言,언,말씀,,"言及 - 언급 (reference)
言語 - 언어 (language)
言論 - 언론 (a speech, discussion)
宣言 - 선언 (proclamation)
發言 - 발언 (utterance)
助言 - 조언 (advice)
",言,6,5
焉,언,어찌,,,"一, 止, 杰",3,2
嚴,엄,엄할,,"嚴格 - 엄격 (austerity)
尊嚴 - 존엄 (dignity)
威嚴 - 위엄 (dignity)
莊嚴 - 장엄 (solemnity)
戒嚴令 - 계엄령 (martial law)
嚴肅 - 엄숙 (solemnity)
","厂, 口, 攵, 耳",4,3
業,업,일,,"企業 - 기업 (enterprise)
事業 - 사업 (industry)
大企業 - 대기업 (big enterprise)
事業次 - 사업차 (business car)
産業 - 산업 (industry)
業體 - 업체 (a business enterprise)
","一, ｜, 八, 木, 王, 羊, 耒",6II,5II
余,여,나,,,"一, 亅, 二, 个, 八, 示",3,2
餘,여,남을,,"餘技 - 여기 (avocation)
餘裕 - 여유 (room)
餘燼 - 여신 (ember)
餘地 - 여지 (room)
餘震 - 여진 (aftershock)
餘暇 - 여가 (leisure)
","亅, 二, 个, 八, 干, 食",,3II
如,여,같을,,"如前- - 여전히 (as it used to be, as before; still, persistently, even still)
如前- - 여전하다 (be unchanged, the same as before)
何如- - 하여튼 (anyway, at any rate, in any case (interjection))
缺如 - 결여 (privation)
如干 - 여간  (some, a little)
","口, 女",4II,3II
汝,여,너,,,"女, 汁",3,2
與,여,줄,,"參與 - 참여 (participation)
寄與 - 기여 (contribution)
寄與- - 기여하다 (contribute, add to)
與論 - 여론 (public opinion)
關與 - 관여 (participation)
授與 - 수여하다 (grant)
","一, 八, 臼",4,3
予,여,나,,,"一, 亅, マ",3,2
輿,여,수레,,"輿論 - 여론 (public opinion, public sentiment towards sth)
","八, 臼, 車",3,2
亦,역,또,,"亦是 - 역시 (as expected, likewise)
","ノ, 亅, 亠, 八",3II,2
易,역,바꿀,"""쉬울 이""로도 읽는다.","貿易 - 무역 (trade)
交易 - 교역 (commerce)
","勹, 日, 勿",4,3
逆,역,거스를,,"逆轉 - 역전 (reversal)
逆轉 - 역전하는 (reverse)
大逆 - 대역 (high treason)
反逆 - 반역 (treachery)
反逆 - 반역하다 (revolt)
逆境 - 역경 (adversity)
","八, 込, 屮",4II,3II
譯,역,풀/번역할,,"飜譯 - 번역 (translation)
通譯 - 통역 (interpretation)
譯者 - 역자 (translator)
改譯 - 개역 (revision)
飜譯者 - 번역자 (translator)
重譯 - 중역 (retranslation)
","亠, 十, 土, 立, 買, 言, 辛",3II,2
驛,역,역참,,"驛 - 역 (a railroad station, depot)
-驛 - 서울역 (Seoul Station)
驛馬車 - 역마차 (stagecoach)
","亠, 十, 立, 買, 辛, 馬",3II,2
役,역,부릴,,"役割 - 역할 (role)
役 - 역 (a part, a role)
懲役 - 징역 (penal servitude)
無期懲役 - 무기징역 (life sentence)
兵役 - 병역 (military service)
主役 - 주역 (leading part)
","彳, 殳",3II,2
疫,역,전염병,,"檢疫 - 검역하다 (quarantine)
疫病 - 역병 (plague)
","殳, 疔",3II,2
域,역,지경,,"地域 - 지역 (region)
區域 - 구역 (zone)
領域 - 영역 (territory)
音域 - 음역 (register)
","口, 土, 戈",4,3
然,연,그러할,,"自然 - 자연 (nature)
自然的 - 자연적 (natural)
當然- - 당연하다 (be natural; ""of course!"")
自然- - 자연스럽다 (to be natural)
當然- - 당연히 (of course)
自然現象 - 자연현상 (natural phenomena)
","夕, 杰, 犬",7,6
煙,연,연기,,"煙氣 - 연기 (smoke, fume)
禁煙 - 금연 (prohibition of smoking)
喫煙 - 끽연 (smoking)
","土, 火, 西",4II,3II
硏,연,갈,,"硏究 - 연구 (research)
硏究- - 연구하다 (to research, investigate)
硏究所 - 연구소 (a reasearch institute)
硏究員 - 연구원 (researcher)
硏修 - 연수 (training (non-physical))
硏究室 - 연구실 (a laboratory)
",,4II,3II
延,연,늘일,,"延期 - 연기 (postponement, deferment)
延期- - 연기하다 (put off, postpone)
延期- - 연기되다 (to be put off, postponed)
延長 - 연장 (prolongation)
遲延 - 지연 (delay)
外延 - 외연 (extension)
","一, 廴, 止",4,3
燃,연,탈,,"燃料 - 연료 (fuel)
燃燒 - 연소 (combustion)
可燃物 - 가연물 (inflammable)
可燃性 - 가연성 (combustibility)
","夕, 火, 杰, 犬",4,3
燕,연,제비,,,"匕, 口, 艾, 杰, 爿",3II,2
沿,연,따를,,"沿岸 - 연안 (coast)
沿革 - 연혁 (history)
","八, 口, 汁",3II,2
鉛,연,납,,"鉛筆 - 연필 (pencil)
色鉛筆 - 색연필 (colored pencil)
鉛毒 - 연독 (lead poisoning)
測鉛 - 측연 (sounding lead)
","八, 口, 金",4,3
宴,연,잔치,,"酒宴 - 주연 (drinking bout)
宴會 - 연회 (banquet)
","女, 宀, 日",3II,2
軟,연,연할,,"軟水 - 연수 (soft water)
軟膏 - 연고 (salve)
軟- - 연하다 (tender, soft, mild)
軟化 - 연화 (softening)
軟骨 - 연골 (cartilage)
軟豆色 - 연두색 (light green)
","欠, 車",3II,2
演,연,펼,,"公演 - 공연 (a public performance)
公演- - 공연하다 (perform)
公演- - 공연되다 (to give a public performance, to put on a play)
演技 - 연기 (performance)
出演 - 출연 (going on stage)
出演- - 출연하다 (appear on stage, act, sing)
","八, 宀, 汁, 田",4II,3II
緣,연,인연,,"因緣 - 인연 (cause and occasion)
",,4,3
熱,열,더울,,"熱 - 열 (heat)
熱情 - 열정 (passion)
熱氣 - 열기 (heat, hot air; excitement, fever)
熱心 - 열심 (enthusiasm, zeal, effortful)
比熱 - 비열 (specific heat)
熱中 - 열중 (zeal)
","丶, 儿, 九, 土, 杰",5,4
悅,열,기쁠,,,,3II,2
閱,열,볼/검열할,,,,3,2
炎,염,불꽃,,"炎症 - 염증 (inflammation)
肺炎 - 폐렴 (pneumonia)
火炎 - 화염 (flame)
肝炎 - 간염 (hepatitis)
腸炎 - 장염 (enteritis)
結膜炎 - 결막염 (conjunctivitis)
",火,3II,2
染,염,물들,,"汚染 - 오염 (pollution)
環境汚染 - 환경오염 (environmental pollution)
","九, 汁, 木",3II,2
鹽,염,소금,,"鹽酸 - 염산 (hydrochloric acid)
鹽田 - 염전 (saltpan)
","十, 囗, 皿, 臣, 鹵",3II,2
葉,엽,잎,,"葉書 - 엽서 (a postcard)
落葉 - 낙엽 (defoliation)
落葉松 - 낙엽송 (larch)
複葉 - 복엽 (compound leaf)
腐葉土 - 부엽토 (leaf mold)
子葉 - 자엽 (seed leaf)
","艾, 木, 世",5,4
永,영,길,,"永遠 - 영원히 (forever)
永遠 - 영원 (eternity)
永住 - 영주 (permanent residence)
永久 - 영구 (eternity)
永續 - 영속 (permanence)
永眠 - 영면하다 (rest)
","丶, 水",6,5
英,영,꽃부리,,"英語 - 영어 (the English language)
英國 - 영국 (England)
英雄 - 영웅 (hero)
英雄的 - 영웅적인 (heroic)
英文 - 영문 (English writing)
石英 - 석영 (quartz)
","ノ, 大, 艾",6,5
迎,영,맞을,,"歡迎 - 환영 (reception)
歡迎 - 환영하다 (welcome)
","卩, 込",4,3
榮,영,영화로울,,"榮光 - 영광 (glory)
繁榮 - 번영 (prosperity)
繁榮 - 번영하는 (flourishing)
","冖, 木, 火",4II,3II
泳,영,헤엄칠,,"水泳 - 수영 (swimming)
水泳場 - 수영장 (swimming pool)
背泳 - 배영 (backstroke)
","丶, 汁, 水",3,2
詠,영,읊을,,,"丶, 水, 言",3,2
營,영,경영할,,"運營- - 운영하다 (manage, administer)
營業 - 영업 (business)
經營 - 경영 (management)
營利的 - 영리적인 (commercial)
非營利的 - 비영리적인 (nonprofit)
營養 - 영양 (nutrition)
","冖, 口, 火",4,3
影,영,그림자,,"影響 - 영향 (influence)
撮影 - 촬영 (photographing, filming, recording)
幻影 - 환영 (vision)
影響力 - 영향력 (influence, power to influence)
暗影 - 암영 (gloom)
","亠, 口, 小, 彡, 日",3II,2
