Hanja,Pronunciation,Meaning_K,Alternate Pronunciation,Examples,Radicals,Reading Level,Writing Level,Strokes,Meaning_E
料,료,헤아릴,,"無料 - 무료 (free)
","斗, 米",5,4,10,"consider,  conjecture;  materials,  ingredients "
了,료,마칠,,"完了 - 완료 (completion)
","一, 亅",3,2,2,to  finish;  particle  of  completed  action 
僚,료,벗,,"同僚 - 동료 (associate)
","化, 小, 日",3,2,14,"companion,  colleague;  officials;  bureaucracy;  a  pretty  face "
龍,룡,용,,"恐龍 - 공룡 (dinosaur)
","月, 立",4,3,16,dragon;  symbolic  of  emperor 
屢,루,여러,,,,3,2,14,"frequently,  often,  again  and  again "
樓,루,다락,,"摩天樓 - 마천루 (skyscraper)
","一, ｜, 口, 女, 木",3II,2,15,building  of  two  or  more  stories 
累,루,묶을,,"連累 - 연루 (involvement)
","田, 糸",3II,2,11,"tired;  implicate,  involve;  bother "
淚,루,눈물,,,,3,2,11,"tears;  weep,  cry "
漏,루,샐,,,"尸, 汁, 雨",3II,2,14,"leak,  drip;  funnel;  hour  glass "
柳,류,버들,,,"卩, 木",4,3,9,willow  tree;  pleasure 
留,류,머무를,,"停留場 - 정류장 (stop, station, bus-stop)
","刀, 厶, 田",4II,3II,10,"stop,  halt;  stay,  detain,  keep "
流,류,흐를,,"交流 - 교류 (alternating current)
","亠, 厶, 川, 汁",5II,4II,10,"flow,  circulate,  drift;  class "
類,류,무리,,"種類 - 종류 (variety)
","大, 米, 貝, 頁",5II,4II,19,"class,  group,  kind,  category "
六,륙,여섯,,,"亠, 八",8,6II,4,number  six 
陸,륙,뭍,,"大陸 - 대륙 (continent)
","儿, 土, 阡",5II,4II,10,"land,  continental;  army;  an  accounting  form  of  six) "
倫,륜,인륜,,"倫理學 - 윤리학 (ethics)
","一, ｜, 亅, 化, 个, 冊",3II,2,10,normal  human  relationships 
輪,륜,바퀴,,"輪番 - 윤번 (rotation)
","一, ｜, 个, 冊, 車",4,3,15,"wheel;  revolve,  turn;  recur "
律,률,법,,"一律 - 일률 (uniformity)
","彳, 聿",4II,3II,9,"statute,  principle,  regulation "
栗,률,밤,,,"木, 西",3II,2,10,"chestnut  tree,  chestnuts;  surname "
率,률,헤아릴,"""거느릴 솔""로도 읽는다.","比率 - 비율 (ratio)
","亠, 冫, 十, 幺, 玄",3II,2,11,to  lead;  ratio;  rate;  limit 
隆,륭,높을,,"隆起 - 융기 (protuberance)
","夂, 阡, 生",3II,2,11,"prosperous,  plentiful,  abundant "
陵,릉,언덕,,,"儿, 土, 夂, 阡",3II,2,10,"hill,  mound;  mausoleum "
里,리,마을,,"里程標 - 이정표 (milestone)
",里,7,6,7,unit  of  distance;  village;  lane 
理,리,다스릴,,"理想 - 이상 (ideal)
","王, 里",6II,5II,11,"reason,  logic;  manage "
利,리,이로울,,"利点利點 - 이점 (advantage)
","刈, 禾",6II,5II,7,"gains,  advantage,  profit,  merit "
李,리,오얏,,,"子, 木",6,5,7,plum;  judge;  surname 
梨,리,배나무,,,"刈, 木, 禾",3,2,11,"pear;  opera;  cut,  slash "
吏,리,벼슬아치,,"官吏 - 관리 (a government official)
","一, 丶, ノ, 口",3II,2,6,"government  official,  magistrate "
離,리,떠날,,"距離 - 거리 (distance)
","亠, 凵, 禹, 隹",4,3,18,"leave,  depart;  go  away;  separate "
裏,리,속,,"裏作 - 이작 (second crop)
","亠, 衣, 里",3II,2,13,"inside,  interior,  within "
履,리,밟을,,"履行 - 이행 (implementation)
","夂, 尸, 彳, 日",3II,2,15,"footwear,  shoes;  walk  on,  tread "
鄰,린,이웃,,,"夕, 邦, 米, 舛",Could not retrieve reading level.,Could not retrieve writing level.,14,neighbor;  neighborhood 
林,림,수풀,,"森林 - 삼림 (forest)
",木,7,6,8,"forest,  grove;  surname "
臨,림,임할,,"臨終 - 임종 (deathbed)
","ノ, 口, 臣, 品",3II,2,17,"draw  near,  approach;  descend "
立,립,설,,"立場 - 입장 (standpoint)
",立,7II,6,5,"stand;  let  stand;  establish,  set "
馬,마,말,,"競馬 - 경마 (horse racing)
",馬,5,4,10,horse;  surname;  angX i  radical 
麻,마,삼,,"亞麻 - 아마 (flax)
","广, 木, 麻",3II,2,11,"hemp,  jute,  flax;  sesame "
磨,마,갈,,,"口, 广, 木, 石, 麻",3II,2,16,grind;  polish;  rub;  wear  out;  a  millstone 
莫,막,없을,,"莫大 - 막대 (tremendous)
","大, 艾, 日",3II,2,10,"do  not,  is  not,  can  not;  negative "
幕,막,장막,,"字幕 - 자막 (title)
","大, 巾, 艾, 日",3II,2,13,"curtain,  screen,  tent "
漠,막,넓을/사막,,,"大, 汁, 艾, 日",3II,2,13,"desert;  aloof,  indifferent,  cool "
萬,만,일만,,"萬 - 만 (one thousand)
","冂, 艾, 日, 田, 禹",8,6II,12,ten  thousand;  innumerable 
晩,만,늦을,,"早晩間 - 조만간 (soon)
","儿, 日, 免",Could not retrieve reading level.,Could not retrieve writing level.,12,night 
滿,만,찰,,"滿 - 만 (just, full)
","一, 人, 入, 冂, 凵, 汁",4II,3II,14,"fill;  full,  satisfied "
漫,만,질펀할,,"漫畵 - 만화 (cartoons)
","又, 汁, 日, 買",3,2,14,overflow  of  water;  spreading 
慢,만,게으를/거만할,,"傲慢 - 오만 (insolence)
","又, 忙, 日, 買",3,2,14,"slow( ly) leisurely,  sluggish "
末,말,끝,,"末 - 말 (end)
","一, ｜, 亠, 八, 木",5,4,5,"final,  last,  end;  insignificant "
亡,망,망할,,"死亡 - 사망 (death)
","亠, 亡",5,4,3,"death,  destroyed;  lose,  perish "
忙,망,바쁠,,,"亠, 忙, 亡",3,2,6,"busy,  pressed  for  time;  hustling "
忘,망,잊을,,"忘恩 - 망은 (ingratitude)
","亠, 亡, 心",3,2,7,"forget;  neglect;  miss,  omit "
望,망,바랄,,"希望 - 희망 (hope)
","亡, 月, 王",5II,4II,11,"to  look  at,  look  forward;  to  hope,  expect "
茫,망,아득할,,,"汁, 艾, 亡",3,2,9,"vast,  boundless,  widespread "
妄,망,망령될,,"迷妄 - 미망 (illusion)
","亠, 女, 亡",3II,2,6,"absurd,  foolish,  reckless;  false "
罔,망,그물,,,"一, 亠, 八, 冂, 亡",3,2,8,net;  deceive;  libel;  negative 
每,매,매양,,"每日 - 매일 (every day)
",,7II,6,7,"every,  each "
買,매,살,,"賣買 - 매매 (trade)
","買, 貝",5,4,12,"buy,  purchase;  bribe,  persuade "
賣,매,팔,,"販賣 - 판매 (sale)
","士, 買, 貝",5,4,15,sell;  betray;  show  off 
妹,매,누이,,"姉妹 - 자매 (sister)
","｜, 二, 亠, 八, 女, 木",4,3,8,younger  sister 
梅,매,매화,,"梅毒 - 매독 (syphilis)
","木, 母",3II,2,,plums;  prunes;  surname 
埋,매,묻을,,"埋葬 - 매장 (burial)
","土, 里",3,2,10,"bury,  secrete,  conceal "
媒,매,중매,,"媒體 - 매체 (a medium, medias)
","女, 木, 甘",3II,2,12,"go- between,  matchmaker;  medium "
麥,맥,보리,,"麥酒 - 맥주 (beer)
","夂, 麦",3II,2,11,"wheat,  barley,  oats;  angX i  radical  number "
脈,맥,줄기,,"脈絡 - 맥락 (context)
","厂, 斤, 月",4II,3II,10,"blood  vessels,  veins,  arteries "
孟,맹,맏,,,"子, 皿",3II,2,8,"first  in  series;  great,  eminent "
猛,맹,사나울,,"猛攻擊 - 맹공격 (fierce attack)
","子, 犯, 皿",3II,2,11,"violent,  savage,  cruel;  bold "
盟,맹,맹세,,"同盟 - 동맹 (league)
","日, 月, 皿",3II,2,13,"swear;  oath,  covenant,  alliance "
盲,맹,눈멀,,"文盲 - 문맹 (illiteracy)
","亠, 亡, 目",3II,2,8,"blind;  unperceptive,  shortsighted "
免,면,면할,,"免- - 면하다 (escape, avoid, get away with)
","一, ｜, 儿, 勹, 口, 免",3II,2,7,spare;  excuse  from;  evade 
勉,면,힘쓸,,"勤勉 - 근면 (industry)
","儿, 力, 免",4,3,9,"endeavor,  make  effort;  urge "
面,면,낯,,"面 - 면 (subdivision of a county)
",面,7,6,,"face;  surface;  plane;  side,  dimension "
眠,면,잘,,"睡眠 - 수면 (sleep, slumber)
","口, 氏, 目",3II,2,10,"close  eyes,  sleep;  hibernate "
綿,면,솜,,"綿 - 면 (cotton)
","巾, 白, 糸",3II,2,14,"cotton  wad;  wool;  soft,  downy "
滅,멸,꺼질,,"滅亡 - 멸망 (ruin)
","ノ, 汁, 戈, 火",3II,2,13,"extinguish;  wipe  out,  exterminate "
名,명,이름,,"名 - 명 (person counter)
","口, 夕",7II,6,6,"name,  rank,  title,  position "
命,명,목숨,,"天命 - 천명 (destiny)
","一, 个, 卩, 口",7,6,8,"life;  destiny,  fate,  luck;  an  order,  instruction "
明,명,밝을,,"說明 - 설명 (explanation)
","日, 月",6II,5II,8,"bright,  light,  brilliant;  clear "
鳴,명,울,,"悲鳴 - 비명 (a scream)
","口, 杰, 鳥",4,3,14,cry  of  bird  or  animal;  make  sound 
銘,명,새길,,"碑銘 - 비명 (inscription)
","口, 夕, 金",3II,2,14,"inscribe,  engrave;  unforgettably "
冥,명,어두울,,"冥王星 - 명왕성 (Pluto)
","亠, 八, 冖, 日",3,2,10,"dark,  gloomy,  night;  deep "
母,모,어미,,"父母 - 부모 (parents)
",母,8,6II,5,mother;  female  elders;  female 
毛,모,털,,"陰毛 - 음모 (pubes)
",毛,4II,3II,4,"hair,  fur,  feathers;  coarse "
暮,모,저물,,,"大, 艾, 日",3,2,14,"evening,  dusk,  sunset;  ending "
某,모,아무개,,"某 - 모 (so-and-so, a certain Mr. X (used to not directly identify sby))
","木, 甘",3,2,9,certain  thing  or  person 
謀,모,꾀,,"陰謀 - 음모 (conspiracy)
","木, 甘, 言",3II,2,16,"plan,  scheme;  strategem "
模,모,본뜰,,"規模 - 규모 (scale)
","大, 艾, 日, 木",4,3,14,"model,  standard,  pattern;  copy "
貌,모,모양,,"外貌 - 외모 (outward appearance)
","儿, 白, 豸",3II,2,14,"countenance,  appearance "
募,모,모을,,"募集 - 모집 (collection)
","力, 大, 艾, 日",3,2,12,"levy,  raise;  summon;  recruit "
慕,모,그릴,,"追慕 - 추모 (the memory of a deceased person)
","大, 艾, 心, 日",3II,2,14,"long  for,  desire;  admire "
侮,모,업신여길,,"侮辱 - 모욕 (insult)
","化, 母",3,2,9,"insult,  ridicule,  disgrace "
冒,모,무릅쓸,,"冒險 - 모험 (risk)
","日, 目",3,2,9,"risk,  brave,  dare "
木,목,나무,,"木曜日 - 목요일 (Thursday)
",木,8,6II,4,"tree;  wood,  lumber;  wooden "
目,목,눈,,"目的 - 목적 (purpose)
",目,6,5,5,"eye;  look,  see;  division,  topic "
牧,목,칠,,"牧師 - 목사 (a pastor)
","攵, 牛",4II,3II,8,"tend  cattle,  shepherd "
睦,목,화목할,,,"儿, 土, 目",3II,2,13,"friendly,  amiable,  peaceful "
沒,몰,빠질/없을,,"沒落 - 몰락 (ruin)
","力, 又, 汁",3II,2,7,"not,  have  not,  none;  to  drown,  sink "
夢,몽,꿈,,"惡夢 - 악몽 (nightmare)
","冖, 夕, 艾, 買",3II,2,13,dream;  visionary;  wishful 
蒙,몽,입을,,"啓蒙 - 계몽 (enlightenment)
","冖, 艾, 豕",3II,2,13,cover;  ignorant;  suffer;  mongolia 
卯,묘,토끼,,,卩,3,2,5,th  terrestrial  branch;  period  from  a. m. 
妙,묘,묘할,,,"ノ, 女, 小",4,3,7,"mysterious,  subtle;  exquisite "
苗,묘,모,,"苗木 - 묘목 (seedling)
","艾, 田",3,2,8,sprouts;  iao  nationality 
廟,묘,사당,,,"十, 广, 日, 月",3,2,15,"temple,  shrine;  imperial  court "
墓,묘,무덤,,"墓地 - 묘지 (graveyard)
","土, 大, 艾, 日",4,3,13,"grave,  tomb "
戊,무,"다섯째, 천간",,,"ノ, 戈",3,2,5,th  heavenly  stem 
茂,무,우거질,,,"ノ, 艾, 戈",3II,2,,"thick,  lush,  dense;  talented "
武,무,굳셀,,"武器 - 무기 (weapon)
","弋, 止",4II,3II,8,"military;  martial,  warlike "
務,무,힘쓸,,"業務 - 업무 (buisness, duty)
","力, 夂, 矛",4II,3II,10,"affairs,  business;  must,  should "
無,무,없을,,"無 - 무 (nothing; lacking)
","一, ｜, ノ, 杰, 無",5,4,12,"negative,  no,  not;  lack,  have  no "
舞,무,춤출,,"舞臺 - 무대 (stage)
","一, ｜, ノ, 二, 夕, 舛, 無",4,3,14,"dance,  posture,  prance;  brandish "
貿,무,무역할,,"貿易 - 무역 (trade)
","刀, 厶, 貝",3II,2,12,"trade,  barter;  mixed;  rashly "
霧,무,안개,,"霧氷 - 무빙 (rime)
","力, 夂, 矛, 雨",3,2,18,"fog,  mist,  vapor,  fine  spray "
墨,묵,먹,,"石墨 - 석묵 (graphite)
","土, 杰, 里, 黒",3II,2,15,ink;  writing 
默,묵,잠잠할,,"沈默 - 침묵 (silence)
","杰, 犬, 里, 黒",3II,2,16,"silent;  quiet,  still;  dark "
門,문,문,,"門 - 문 (door)
",門,8,6II,8,"gate,  door,  entrance,  opening "
問,문,물을,,"問題 - 문제 (problem)
","口, 門",7,6,11,ask  about) inquire  after 
聞,문,들을,,"新聞 - 신문 (a newspaper)
","耳, 門",6II,5II,14,hear;  smell;  make  known;  news 
文,문,글월,,"文化 - 문화 (culture)
",文,7,6,,"literature,  culture,  writing "
勿,물,말,,"勿論 - 물론 (naturally)
","ノ, 勹, 勿",3II,2,4,"must  not,  do  not;  without,  never "
物,물,물건,,"膳物 - 선물 (a present, gift)
","勹, 牛, 勿",7II,6,8,"thing,  substance,  creature "
米,미,쌀,,"中米 - 중미 (Central America)
",米,6,5,6,hulled  or  husked  uncooked  rice 
未,미,아닐,,"未安- - 미안하다 (to be sorry)
","｜, 二, 亠, 八, 木",4II,3II,5,not  yet;  th  terrestrial  branch 
味,미,맛,,"意味 - 의미 (significance)
","｜, 二, 亠, 八, 口, 木",4II,3II,8,"taste,  smell,  odor;  delicacy "
美,미,아름다울,,"美國 - 미국 (United States of America)
","八, 大, 王, 羊",6,5,9,"beautiful,  pretty;  pleasing "
尾,미,꼬리,,"後尾 - 후미 (rear)
","尸, 毛",3II,2,7,"tail,  extremity;  end,  stern "
迷,미,미혹할,,"迷路 - 미로 (maze)
","込, 米",3,2,9,"bewitch,  charm,  infatuate "
微,미,작을,,"微笑 - 미소 (smile)
","山, 彳, 攵",3II,2,13,"small,  prefix  micro- trifling "
眉,미,눈썹,,,"｜, 尸, 目",3,2,9,eyebrows;  upper  margin  of  book 
民,민,백성,,"國民 - 국민 (people)
","口, 氏",8,6II,5,"people,  subjects,  citizens "
敏,민,재빠를,,"敏活 - 민활 (alacrity)
","攵, 母",3,2,11,"fast,  quick,  clever,  smart "
憫,민,민망할,,,"忙, 文, 門",3,2,15,"pity,  sympathize  with,  grieve  for "
密,밀,빽빽할,,"秘密 - 비밀 (secrecy)
","丶, ノ, 宀, 山, 心",4II,3II,11,"dense,  thick,  close;  intimate "
蜜,밀,꿀,,"糖蜜 - 당밀 (molasses)
","丶, ノ, 宀, 心, 虫",3,2,14,honey;  sweet;  nectar 
朴,박,성/순박할,,"素朴 - 소박 (simplicity)
","卜, 木",6,5,6,"simple,  unadorned;  sincere;  surname;  a  tree "
泊,박,머무를,,"泊 - 박 (number of nights (counter))
","汁, 白",3,2,8,anchor  vessel;  lie  at  anchor 
拍,박,칠,,"拍手 - 박수 (applause)
","扎, 白",4,3,8,"clap,  tap,  beat;  beat  or  rhythm "
迫,박,핍박할/닥칠,,"壓迫 - 압박 (pressure)
","込, 白",3II,2,8,"coerce,  force,  compel;  urgent "
博,박,넓을,,"博士 - 박사 (doctor)
","丶, 十, 寸, 田",4II,3II,12,"gamble,  play  games;  wide,  broad "
薄,박,엷을,,"淺薄 - 천박 (superficiality)
","丶, 十, 寸, 汁, 艾, 田",3II,2,16,"thin,  slight,  weak;  poor,  stingy "
反,반,돌아올/뒤집을,,"反- - 반하다 (to be contrary to)
","厂, 又",6II,5II,4,"reverse,  opposite,  contrary,  anti "
飯,반,밥,,"飯饌 - 반찬 (side dishes)
","厂, 又, 食",3II,2,12,cooked  rice;  food;  meal 
半,반,반,,"半 - 반 (half)
","｜, 二, 八, 十",6II,5II,5,half 
般,반,가지,,"一般 - 일반 (ordinary, general)
","殳, 舟",3II,2,10,"sort,  manner,  kind,  category "
盤,반,소반,,"初盤 - 초반 (early phase, early stage)
","殳, 皿, 舟",3II,2,15,"tray,  plate,  dish;  examine "
班,반,나눌,,"班 - 반 (group, company, party)
","厂, 土, 王",6II,5II,10,"class,  group,  grade;  squad;  job "
返,반,돌이킬,,"返還 - 반환 (return)
","厂, 又, 込",3,2,7,"return,  revert  to,  restore "
叛,반,배반할,,"叛徒 - 반도 (rebel)
","八, 厂, 又",3,2,9,rebel;  rebellion;  rebellious 
伴,반,짝,,"同伴 - 동반 (company)
","｜, 二, 化, 八, 十",3,2,7,"companion,  comrade,  partner;  accompany "
發,발,쏠,,"開發 - 개발 (exploitation)
","弓, 殳, 癶",6II,5II,12,"issue,  dispatch,  send  out,  emit "
拔,발,뺄,,"選拔 - 선발 (selection)
","一, 丶, ノ, 扎",3II,2,8,"uproot,  pull  out "
髮,발,터럭,,"理髮所 - 이발소 (barber shop)
","又, 彡, 攵, 長, 髟",4,3,15,hair 
方,방,모,,"方法 - 방법 (way)
",方,7II,6,4,"a  square,  rectangle;  a  region;  local "
房,방,방,,"房 - 방 (a room)
","戸, 方",4II,3II,8,"house,  building;  room "
防,방,막을,,"防禦 - 방어 (protection)
","阡, 方",4II,3II,,defend;  prevent;  embankment 
放,방,놓을,,"放送 - 방송 (broadcasting)
","攵, 方",6II,5II,8,"put,  release,  free,  liberate "
訪,방,찾을,,"訪問 - 방문하다 (visit)
","方, 言",4II,3II,11,"visit;  ask,  inquire "
芳,방,꽃다울,,"芳香 - 방향 (perfume)
","艾, 方",3II,2,7,fragrant;  virtuous;  beautiful 
傍,방,곁,,"傍觀者 - 방관자 (onlooker)
","亠, 化, 八, 冖, 方, 立",3,2,12,"by  side  of,  beside,  near,  close "
妨,방,방해할,,"妨害 - 방해 (obstruction)
","女, 方",4,3,7,"interfere  with,  impede,  obstruct "
倣,방,본뜰,,"模倣 - 모방 (imitation)
","化, 攵, 方",3,2,10,imitate 
邦,방,나라,,"連邦 - 연방 (commonwealth)
","ノ, 二, 邦",3,2,6,"nation,  country,  state "
拜,배,절,,"禮拜 - 예배 (worship)
","ノ, 干, 扎",4II,3II,9,"do  obeisance,  bow,  kowtow "
杯,배,잔,,"賞杯賞盃 - 상배 (trophy)
","一, ｜, ノ, 木, 礼",3,2,8,"cup,  glass "
倍,배,곱,,"倍 - 배 (times, ~-fold)
","化, 口, 立",5,4,10,"times,  fold,  multiple  times "
培,배,북돋을,,"栽培 - 재배 (cultivation)
","口, 土, 立",3II,2,11,bank  up  with  dirt;  cultivate 
配,배,나눌,,"配置 - 배치 (disposition)
","已, 酉",4II,3II,10,"match,  pair;  equal;  blend "
排,배,밀칠,,"排出 - 배출 (evacuation)
","扎, 非",3II,2,11,"row,  rank,  line "
輩,배,무리,,"先輩 - 선배 (progenitor)
","車, 非",3II,2,15,"generation,  lifetime;  class "
背,배,등,,"背景 - 배경 (background)
","匕, 月, 爿",4II,3II,9,back;  back  side;  behind;  betray 
白,백,흰,,"告白 - 고백 (confession)
",白,8,6II,5,"white;  pure,  unblemished;  bright "
百,백,일백,,"百 - 백 (one hundred)
","一, 白",7,6,6,"one  hundred;  numerous,  many "
伯,백,맏,,"伯爵 - 백작 (count)
","化, 白",3II,2,7,older  brother;  father' s  elder  brother;  senior  male  sire' feudal  rank  count' 
番,번,차례,,"番 - 번 (number, how many times)
","田, 米, 釆",6,5,12,"to  take  turns;  a  turn,  a  time;  to  repeat "
煩,번,번거로울,,,"火, 貝, 頁",3,2,13,"bother,  vex,  trouble;  troublesome "
繁,번,번성할/복잡할,,"繁榮 - 번영 (prosperity)
","攵, 母, 糸",3II,2,17,"complicated,  complex,  difficult "
飜,번,번역할/날,,"飜譯 - 번역 (translation)
","田, 米, 釆, 飛",3,2,21,"flip  over,  upset,  capsize "
伐,벌,칠,,,"化, 戈",4II,3II,6,"cut  down,  subjugate,  attack "
罰,벌,벌할,,"罰 - 벌 (punishment)
","刈, 買, 言",4II,3II,14,"penalty,  fine;  punish,  penalize "
凡,범,무릇,,"平凡- - 평범하다 (plain, average)
","丶, 几",3II,2,3,"all,  any,  every;  ordinary,  common "
犯,범,범할,,"犯罪 - 범죄 (crime)
","乙, 卩, 犯",4,3,5,"commit  crime,  violate;  criminal "
範,범,법,,"範圍 - 범위 (range)
","乙, 卩, 竹, 車",4,3,15,"pattern,  model,  rule,  law "
法,법,법,,"方法 - 방법 (way)
","厶, 土, 汁",5II,4II,8,"law,  rule,  regulation,  statute;  rance,  rench "
壁,벽,벽,,"壁 - 벽 (a wall)
","十, 口, 土, 尸, 立, 辛",4II,3II,16,partition  wall;  walls  of  a  house 
碧,벽,푸를,,"碧玉 - 벽옥 (jasper)
","口, 王, 白, 石",3II,2,14,"jade;  green,  blue "
變,변,변할,,"變更 - 변경 (change, alteration)
","攵, 糸, 言",5II,4II,23,"change,  transform,  alter;  rebel "
辯,변,말씀,,"辯護士 - 변호사 (lawyer)
","十, 立, 言, 辛",4,3,21,"dispute,  argue,  debate,  discuss "
辨,변,분별할,,"辨明 - 변명 (explanation)
","ノ, 十, 立, 辛",3,2,16,"distinguish,  discriminate "
邊,변,가,,"周邊 - 주변 (outskirts)
","儿, 込, 宀, 方, 穴, 自",Could not retrieve reading level.,Could not retrieve writing level.,18,"edge,  margin,  side,  border "
別,별,나눌,,"別 - 별 (classified by)
","刈, 力, 口",6,5,7,"separate,  other;  do  not "
丙,병,남녘,,,"一, 人, 冂",3II,2,5,third;  rd  heavenly  stem 
病,병,병,,"病院 - 병원 (hospital)
","一, 人, 冂, 疔",6,5,10,"illness,  sickness,  disease "
兵,병,병사,,"兵士 - 병사 (soldier)
","一, 八, 斤",5II,4II,,"soldier,  troops "
竝,병,아우를,,,立,3,2,10,"to  combine,  annex;  also,  what' s  more "
屛,병,병풍,,,,3,2,11,folding  screen 
保,보,지킬,,"保護 - 보호 (protection)
","化, 口, 木",4II,3II,9,"protect,  safeguard,  defend,  care "
步,보,걸음,,"讓步 - 양보 (yield, concession, compromise)
",,4II,3II,7,"step,  pace;  walk,  stroll "
報,보,갚을,,"報告 - 보고 (information)
","亠, 十, 卩, 又, 土, 立, 辛",4II,3II,12,"report,  tell,  announce "
普,보,넓을,,"普通 - 보통 (usually)
","一, ｜, 二, 八, 日",4,3,12,"universal,  general,  widespread "
譜,보,족보,,,"一, ｜, 二, 八, 日, 言",3II,2,19,"register,  list,  table;  musical  score "
補,보,기울/도울,,"候補 - 후보 (candidate, nominee)
","丶, 十, 用, 初",3II,2,12,"mend,  patch,  fix,  repair,  restore "
寶,보,보배,,"寶物 - 보물 (treasure)
","凵, 宀, 王, 缶, 貝",4II,3II,20,"treasure,  jewel;  precious,  rare "
福,복,복,,"幸福 - 행복 (happiness)
","一, 口, 礼, 田",5II,4II,13,"happiness,  good  fortune,  blessing "
伏,복,엎드릴,,"降伏 - 항복 (surrender)
","化, 犬",4,3,6,"crouch,  crawl,  lie  hidden,  conceal "
服,복,옷,,"克服 - 극복 (conquest, subjugation)
","卩, 又, 月",6,5,8,"clothes;  wear,  dress "
復,복,돌아올,"""다시 부""로도 읽는다.","回復 - 회복 (restoration)
","夂, 彳, 日",4II,3II,12,return;  repeat;  repeatedly 
腹,복,배,,"腹部 - 복부 (abdomen)
","夂, 日, 月",3II,2,13,"stomach,  belly,  abdomen;  inside "
複,복,겹칠,,"複雜- - 복잡하다 (be complicated)
","夂, 日, 初",4,3,14,"repeat,  double,  overlap "
卜,복,점,,,卜,3,2,2,fortune  telling;  prophesy 
覆,복,다시,,,"夂, 彳, 日, 西",3II,2,18,cover;  tip  over;  return;  reply 
本,본,근본/뿌리,,"日本 - 일본 (Japan)
","一, 木",6,5,5,"root,  origin,  source;  basis "
奉,봉,받들,,"奉仕 - 봉사 (service)
","一, ｜, ノ, 二, 人, 大",5II,4II,8,offer;  receive;  serve;  respect 
逢,봉,만날,,,"｜, 二, 込, 夂",3II,2,10,"come  upon,  happen  meet;  flatter "
峯,봉,봉우리,,,"一, ｜, 夂, 山",3II,2,10,"peak,  summit;  hump  of  camel "
蜂,봉,벌,,"養蜂 - 양봉 (apiculture)
","一, ｜, 夂, 虫",3,2,13,"bee,  wasp,  hornet "
封,봉,봉할,,"封套 - 봉투 (envelope)
","土, 寸",3II,2,9,"letter,  envelope;  feudal "
鳳,봉,봉황새,,"鳳仙花 - 봉선화 (balsam)
","几, 杰, 鳥",3II,2,14,male  phoenix;  symbol  of  joy 
夫,부,지아비,,"工夫 - 공부 (study)
","二, 人, 大",7,6,4,"man,  male  adult,  husband;  those "
扶,부,도울,,"扶養 - 부양하다 (sustain)
","二, 人, 大, 扎",3II,2,7,"support,  help;  protect;  hold  on "
父,부,아비,,"父母 - 부모 (parents)
",父,8,6II,4,father;  angX i  radical 
富,부,부유할,,"富 - 부 (wealth, riches)
","口, 宀, 田",4II,3II,12,"abundant,  ample;  rich,  wealthy "
部,부,떼,,"部 - 부 (department, ministry)
","口, 邦, 立",6II,5II,10,"part,  division,  section "
婦,부,며느리/아내,,"情婦 - 정부 (mistress)
","冖, 女, 巾, ヨ",4II,3II,11,married  women;  woman;  wife 
否,부,아닐,,"否認 - 부인 (repudiation)
","一, ノ, 口",4,3,7,"not,  no,  negative;  final  particle "
浮,부,뜰,,"浮游 - 부유 (floating)
","子, 汁, 爪",3II,2,10,"to  float,  drift,  waft;  to  exceed;  superfluous "
付,부,줄,,"付託 - 부탁 (request, favor)
","化, 寸",3II,2,5,"give,  deliver,  pay,  hand  over;  entrust "
符,부,부호,,"符號 - 부호 (mark)
","化, 寸, 竹",3II,2,11,"i. d.  tag,  tally,  symbol,  charm "
附,부,붙을,,"寄附 - 기부 (contribution)
","化, 寸, 阡",3II,2,7,"adhere  to,  append;  rely  on  near  to "
府,부,마을,,"政府 - 정부 (government)
","化, 寸, 广",4II,3II,8,prefecture;  prefect;  government 
腐,부,썩을,,"腐敗 - 부패 (decay)
","化, 寸, 广, 肉",3II,2,14,"rot,  decay,  spoil;  rotten "
負,부,질,,"負擔 - 부담 (responsibility)
","勹, 貝",4,3,9,"load,  burden;  carry,  bear "
副,부,버금,,"副署 - 부서 (countersignature)
","一, 刈, 口, 田",4II,3II,11,assist;  supplement;  assistant 
簿,부,장부,,"簿記 - 부기 (bookkeeping)
","丶, 十, 寸, 汁, 田, 竹",3II,2,19,"register,  account  book,  notebook "
赴,부,다다를,,,"卜, 土, 走",3,2,9,"go  to;  attend,  be  present "
賦,부,부세,,"賦課 - 부과 (imposition, levy, charge)
","弋, 止, 貝",3II,2,15,tax;  give;  endow;  army;  diffuse 
北,북,북녘,,"北 - 북 (north)
","匕, 爿",8,6II,5,north;  northern;  northward 
分,분,나눌,"""푼 푼""으로도 읽는다.","部分 - 부분 (portion)
","八, 刀",6II,5II,,divide;  small  unit  of  time  etc. 
紛,분,어지러울,,"紛爭 - 분쟁 (trouble)
","八, 刀, 糸",3II,2,10,"in  disorder,  scattered,  tangled "
粉,분,가루,,"粉紅色 - 분홍색 (pink color)
","八, 刀, 米",4,3,10,"powder,  face  powder;  plaster "
奔,분,달릴,,"奔走- - 분주하다 (be busy, crowded)
","一, ノ, 十, 大, 廾",3II,2,,"run  fast,  flee;  rush  about;  run "
墳,분,무덤,,,"十, 土, 艾, 貝",3,2,15,"grave,  mound;  bulge;  bulging "
憤,분,분할,,"憤怒 - 분노 (rage,anger)
","十, 忙, 艾, 貝",4,3,15,"resent,  hate;  indignant "
